"zip5","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
"00601",15292,1299,0.449,0.0272,17126,429
"00602",18716,1340,0.4926,0.017,37895,279
"00603",16789,966,0.5702,0.0256,49136,841
"00606",18835,2837,0.4373,0.0327,5751,355
"00610",21239,1919,0.464,0.0285,26153,382
"00611",17143,10456,0.5824,0.1595,1283,358
"00612",19934,1156,0.5421,0.0293,64090,1466
"00616",19130,2212,0.4882,0.0444,10186,1247
"00617",19048,2626,0.5036,0.0543,22803,283
"00622",17728,4116,0.5386,0.0764,7751,1105
"00623",18690,1180,0.5287,0.033,39652,1105
"00624",18136,1095,0.4994,0.0395,21912,412
"00627",19745,1269,0.5057,0.0252,32885,NA
"00631",15234,8031,0.4843,0.1032,1098,380
"00636",NA,NA,0.5677,0.1549,1174,525
"00637",19042,1565,0.4568,0.0272,23016,265
"00638",18968,1978,0.4808,0.0709,17689,555
"00641",16233,1160,0.5139,0.0238,24915,684
"00646",29568,3990,0.5546,0.0248,36142,118
"00647",14430,3220,0.5061,0.0871,5198,672
"00650",20362,3037,0.4611,0.0439,14301,781
"00652",23813,3129,0.3967,0.0498,3193,548
"00653",11788,1506,0.4902,0.0266,9099,672
"00656",19054,1724,0.4463,0.0238,18633,404
"00659",20694,1174,0.5018,0.0265,37525,405
"00660",20770,2087,0.4896,0.0463,15630,65
"00662",17375,1583,0.5221,0.0244,40503,735
"00664",16389,2239,0.4601,0.0283,15132,205
"00667",15426,1670,0.5009,0.0249,23665,259
"00669",17589,1259,0.4807,0.0216,27763,444
"00670",15516,3112,0.4585,0.0356,8744,129
"00674",19103,1462,0.5348,0.0236,39569,439
"00676",17423,1923,0.5624,0.0387,36849,541
"00677",24325,3336,0.5054,0.0322,15225,120
"00678",18269,2762,0.4702,0.0309,25763,618
"00680",15340,880,0.5724,0.0229,43070,1607
"00682",15678,1530,0.6534,0.0304,31816,1591
"00683",16764,1623,0.5389,0.0344,29664,644
"00685",16785,1441,0.5256,0.0394,40169,662
"00687",21598,1557,0.4624,0.0213,29069,NA
"00688",16181,1282,0.5473,0.0406,11552,1221
"00690",18142,2737,0.4809,0.0433,6217,867
"00692",22144,1400,0.5601,0.0477,33646,748
"00693",21647,1099,0.4969,0.0158,56146,889
"00694",NA,NA,0.4141,0.4141,86,104
"00698",16403,1424,0.5072,0.0219,34016,426
"00703",22023,2197,0.5105,0.0414,25001,679
"00704",18917,3246,0.4499,0.047,7179,1014
"00705",21282,2185,0.5001,0.0429,24414,145
"00707",21365,3179,0.4174,0.0345,10615,75
"00714",14933,1660,0.5376,0.0323,16183,NA
"00715",13787,3701,0.4532,0.0926,2012,500
"00716",19164,1692,0.6444,0.0481,27746,1720
"00717",12228,1354,0.5979,0.0264,14568,1119
"00718",18333,1819,0.4272,0.0253,23412,391
"00719",19197,2195,0.5512,0.0683,29555,280
"00720",15485,1776,0.5366,0.0419,20717,353
"00723",18107,2237,0.4987,0.0426,16265,99
"00725",24262,1414,0.5424,0.0243,79153,2297
"00727",31204,2034,0.5181,0.0355,52829,2062
"00728",20542,1135,0.52,0.0312,39669,1768
"00729",24289,1645,0.5392,0.0277,48227,708
"00730",16734,1214,0.5555,0.0308,33251,1780
"00731",15097,2873,0.5553,0.0485,11131,1330
"00735",20864,1867,0.5185,0.0739,11621,415
"00736",24099,1598,0.5027,0.0201,46167,771
"00738",22162,1677,0.5229,0.0527,30468,386
"00739",23021,1363,0.4937,0.0218,35105,841
"00740",10984,7231,0.524,0.0669,2020,385
"00741",24143,6489,0.403,0.0412,3899,572
"00745",23882,1515,0.4849,0.0257,48282,333
"00751",18458,1870,0.5008,0.0305,19768,1036
"00754",19320,1630,0.4828,0.0204,37012,340
"00757",20786,1670,0.499,0.0363,20366,151
"00765",14942,2258,0.459,0.0726,8317,NA
"00766",20774,2004,0.5519,0.0556,22416,67
"00767",17390,1660,0.4847,0.0216,31450,205
"00769",18994,2378,0.512,0.0233,35126,276
"00771",23873,3147,0.4985,0.0268,34882,704
"00772",16425,1896,0.5071,0.0252,18148,678
"00773",22216,1746,0.4782,0.0338,17917,NA
