"iid","gender","wave","from","zipcode","zip5","census_match","income_2000","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
1,0,1,"Chicago","60,521","60521",TRUE,69487,216286,17967,0.5094,0.0177,18004,416
2,0,1,"Alabama","35,223","35223",TRUE,65929,138438,15677,0.5415,0.0483,11432,837
3,0,1,"Connecticut","6,268","06268",TRUE,,33803,8480,0.5883,0.0359,12094,742
4,0,1,"Texas","77,096","77096",TRUE,37754,71930,5519,0.5231,0.0177,32744,2180
5,0,1,"Bowdoin College","94,022","94022",TRUE,86340,250001,,0.4986,0.0207,20069,881
6,0,1,"MD","20,878","20878",TRUE,60304,130469,7018,0.435,0.016,65999,1831
7,0,1,"Southern California","91,360","91360",TRUE,54620,99229,6593,0.4491,0.0193,42984,1404
8,0,1,"London, England","0",,FALSE,,,,,,,
9,0,1,"Palm Springs, California","0",,FALSE,,,,,,,
10,0,1,"94115","19,335","19335",TRUE,48652,121146,6043,0.4135,0.0232,51247,1502
11,1,1,"Argentina","0",,FALSE,,,,,,,
12,1,1,"England","14,850","14850",TRUE,29237,58846,4271,0.5341,0.0158,67991,1125
13,1,1,"Southern California","92,821","92821",TRUE,,105330,7389,0.4045,0.0242,41286,812
14,1,1,"Cincinnati, Ohio","45,243","45243",TRUE,56580,151371,5877,0.4988,0.0347,16278,509
15,1,1,"Miami","33,183","33183",TRUE,36782,61806,6551,0.4588,0.0288,34662,1839
16,1,1,"Milan - Italy","26,900","26900",FALSE,,,,,,,
17,1,1,"Georgia, USA","30,677","30677",TRUE,38548,93246,14991,0.4686,0.0492,20229,1079
18,1,1,"New York","10,028","10028",TRUE,52010,149789,11622,0.5392,0.0259,47793,3568
19,1,1,"california","2,467","02467",TRUE,,157054,19427,0.5113,0.0254,23328,1449
20,1,1,"Washington DC","3,031","03031",TRUE,,142083,12848,0.4122,0.0434,11744,75
21,0,2,"New Jersey","7,661","07661",TRUE,,142214,21544,0.4171,0.045,12024,31
22,0,2,"Ann Arbor, MI","48,104","48104",TRUE,28418,58082,6920,0.5802,0.0182,44269,1616
23,0,2,"Hong Kong","0",,FALSE,,,,,,,
24,0,2,"new york","11,561","11561",TRUE,43185,119731,7689,0.415,0.0171,39140,627
25,0,2,"Iowa","52,803","52803",TRUE,23152,56157,3182,0.4949,0.0443,21877,1153
26,0,2,"California","94,596","94596",TRUE,43664,125731,9182,0.4384,0.022,23046,1429
27,0,2,"Westchester, NY","10,523","10523",TRUE,48441,110420,7575,0.407,0.0358,9717,609
28,0,2,"","",,FALSE,,,,,,,
29,0,2,"Washington, DC","22,151","22151",TRUE,61152,138587,15927,0.3446,0.0267,17343,1456
30,0,2,"Boston","1,867","01867",TRUE,,145471,8649,0.402,0.0249,25511,47
31,0,2,"Washington, DC","13,413","13413",TRUE,36485,84262,7634,0.4841,0.0452,16169,736
32,0,2,"new jersey","8,820","08820",TRUE,,146149,11448,0.4029,0.019,40083,1155
33,0,2,"Michigan","48,124","48124",TRUE,41507,75504,4308,0.4165,0.0226,33054,1614
34,0,2,"SIngapore","807,931",,FALSE,,,,,,,
35,0,2,"Brazil","29,055","29055",TRUE,17134,39511,7714,0.4781,0.0482,3786,533
36,0,2,"Brandeis University","8,691","08691",TRUE,,126733,22603,0.412,0.0267,16730,705
37,0,2,"Cincinnati, OH","45,213","45213",TRUE,30038,63071,8617,0.4443,0.0371,11795,975
38,0,2,"New York","10,025","10025",TRUE,33772,103440,6815,0.5921,0.019,96918,4346
39,0,2,"Los Angeles","90,026","90026",TRUE,24997,70436,5492,0.4919,0.0254,65921,2280
40,1,2,"SF Bay Area, CA","94,043","94043",TRUE,42096,159898,9106,0.4445,0.0155,33052,1325
41,1,2,"China","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
42,1,2,"San Francisco(home)/Los Angeles(undergrad)","94,133","94133",TRUE,28891,71063,8156,0.6126,0.0323,26090,1535
43,1,2,"Spain","6,700","06700",FALSE,,,,,,,
44,1,2,"Israel","22,442","22442",FALSE,,,,,,,
45,1,2,"Switzerland","10,012","10012",TRUE,,117581,10760,0.5654,0.0309,22269,1508
46,1,2,"Italy","21,020","21020",FALSE,,,,,,,
47,1,2,"Italy","100","00100",FALSE,,,,,,,
